,title,category,date,location,url
70,Slip shows dark turn in Aussie housing,BreakingAustralian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/abs-lending-indicators-show-falloff-in-new-housing-loans-for-may/news-story/e0e825da28b8d425b0a5790683518d8e
71,Dan’s backflip on phone records: court,VIC Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/victoria/courts-law/dan-and-catherine-andrews-agree-to-hand-over-phone-records-from-day-of-crash-with-cyclist-ryan-meuleman/news-story/c87dd9c6b5e22b011c8dc1f0526124a6
72,‘Special place’ renamed after Socceroos coach,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/graham-arnolds-contribution-to-australian-football-recognised-with-oval-renamed-in-his-honour/news-story/c5beb6104816aa4fe29b114573dcc1a9
73,Popular item recalled over salmonella scare,Food Warnings,2024-07-10,Australia,https://www.news.com.au/lifestyle/food/food-warnings/alfez-natural-tahini-paste-recalled-over-salmonella-concerns/news-story/5bdae5b582b02925ddb928dd3dba8c0a
74,Mum’s final words to young son revealed,SA,2024-07-10,Australia,https://www.news.com.au/national/south-australia/police-commissioner-grant-stevens-and-wife-emma-receive-apology-letter-from-the-driver-who-killed-their-son-charlie/news-story/3559a3cf1072270899e4971bf9c02a8e
75,Fears Pacific countries could lose banks,Banking,2024-07-10,Australia,https://www.news.com.au/finance/business/banking/pacific-leaders-us-treasury-officials-banking-heads-to-meet-in-brisbane-for-twoday-pacific-banking-forum/news-story/b9b5cb4b3880fbc38c9decf04528620c
76,Man critical after alleged altercation,NSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/wagga-wagga-man-airlifted-to-canberra-after-alleged-serious-assault/news-story/cb194e00573cbe6c010012c2f698c83d
77,Anger as Greens MP dodges Hamas question,Politics,2024-07-10,Australia,https://www.news.com.au/national/politics/greens-senator-mehreen-faruqi-refuses-to-answer-question-whether-hamas-should-be-dismantled/news-story/e7a6ad29893087ddfca360e4885e1138
78,Cops block street after death of 60yo man,SA,2024-07-10,Australia,https://www.news.com.au/national/south-australia/cops-block-off-taperoo-st-after-suspicious-death-of-60yearold-man/news-story/fff2b3cbdd1dd5a9e724d592874a220f
79,Armed man shot dead at police station,UpdatedQLD Crime,2024-07-10,Australia,https://www.news.com.au/national/queensland/crime/man-armed-with-a-knife-shot-dead-at-townsville-police-station/news-story/6505e48c55c6b9da6b35b535249461f5
80,Shorten vows to scrap sex work on NDIS,Politics,2024-07-10,Australia,https://www.news.com.au/national/politics/ndis-minister-bill-shorten-said-governmentfunded-sex-work-will-be-scrapped-under-reform/news-story/e45c322c5db30514f49adc872b4d466e
81,PNG government minister arrested in Sydney,NSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/senior-png-minister-arrested-in-sydney-charged-with-assault/news-story/edb9fbac5a48e90982fe6a1ba161eef1
82,Blues officials disappointed for Latrell,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/hes-going-to-be-missed-blues-respond-to-latrell-mitchell-injury-but-insist-nothing-changes-for-suncorp-decider/news-story/c7e73bb1e06844b2ff26377719f44342
83,Cop allegedly slashed during raid,NSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/awaba-rd-toronto-police-officer-allegedly-slashed-during-domestic-violence-investigation/news-story/3abd0e0301d4f9d50d9c38f15566f6c0
84,Three homes lost in huge Brisbane fire,QLD,2024-07-10,Australia,https://www.news.com.au/national/queensland/news/fire-rips-through-a-brisbane-suburb-destroying-two-homes-and-seriously-injuring-a-man/news-story/38719f192090a1bd343603e928871814
85,Community mourns slain fisherman,VIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/andres-pancha-dozens-attend-vigil-for-slain-fisherman-at-frankston-pier/news-story/d80782332cbaf26cde88ebba3eac8fc5
86,‘Shameless’: Dutton’s blistering attack,Politics,2024-07-10,Australia,https://www.news.com.au/national/politics/opposition-leader-peter-dutton-aims-for-victory-in-queensland-election/news-story/a3b64895dee7c7308389124d12b5f196
87,"Woman’s body stuffed in bin, police believe",UPDATEDVIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/womans-body-found-at-waste-management-facility-in-melbourne/news-story/cc79bd0ef24a4a7402a23a2df071d89e
88,Bird flu continues spread in Antarctica,Animals,2024-07-10,Australia,https://www.news.com.au/technology/science/animals/scientists-have-confirmed-the-spread-of-bird-flu-in-antarctica-which-has-caused-significant-mortalities-of-wild-birds-and-mammals-on-a-global-scale/news-story/613874e2d03fbc4e28c329b738afcf20
89,Aussies issued chilling gas warning,National,2024-07-10,Australia,https://www.news.com.au/national/warning-as-accc-predicts-gas-shortfalls-for-australias-east-coast/news-story/b327c831cc38e49c4f0940d7c682a76f
